
2025/04/10 (21:16:35) | ===> btop++ v.1.4.0
2025/04/10 (21:16:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/10 (21:17:10) | INFO: Logger set to INFO
2025/04/10 (21:17:10) | INFO: Logger set to DEBUG
2025/04/10 (21:17:12) | INFO: Logger set to INFO
2025/04/10 (21:17:12) | INFO: Logger set to DEBUG
2025/04/10 (21:17:14) | INFO: Logger set to INFO
2025/04/10 (21:17:15) | INFO: Logger set to DEBUG
2025/04/10 (21:17:17) | INFO: Logger set to INFO
2025/04/10 (21:17:17) | INFO: Logger set to DEBUG
2025/04/10 (21:17:19) | INFO: Logger set to INFO

2025/04/10 (21:17:24) | ===> btop++ v.1.4.0
2025/04/10 (21:17:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/10 (21:37:26) | ===> btop++ v.1.4.0
2025/04/10 (21:37:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (10:57:46) | ===> btop++ v.1.4.0
2025/04/11 (10:57:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (12:27:25) | ===> btop++ v.1.4.0
2025/04/11 (12:27:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (20:44:21) | ===> btop++ v.1.4.0
2025/04/11 (20:44:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (20:49:08) | ===> btop++ v.1.4.0
2025/04/11 (20:49:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (21:47:55) | ===> btop++ v.1.4.0
2025/04/11 (21:47:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (14:43:10) | ===> btop++ v.1.4.0
2025/04/13 (14:43:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (14:50:12) | ===> btop++ v.1.4.0
2025/04/13 (14:50:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (15:29:01) | ===> btop++ v.1.4.0
2025/04/13 (15:29:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (15:51:05) | ===> btop++ v.1.4.0
2025/04/13 (15:51:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (15:51:19) | ===> btop++ v.1.4.0
2025/04/13 (15:51:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (15:53:03) | ===> btop++ v.1.4.0
2025/04/13 (15:53:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (22:08:17) | ===> btop++ v.1.4.0
2025/04/13 (22:08:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (22:18:18) | ===> btop++ v.1.4.0
2025/04/13 (22:18:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (22:44:35) | ===> btop++ v.1.4.0
2025/04/13 (22:44:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (07:32:10) | ===> btop++ v.1.4.0
2025/04/17 (07:32:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (21:31:45) | ===> btop++ v.1.4.0
2025/04/17 (21:31:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (16:10:55) | ===> btop++ v.1.4.0
2025/04/19 (16:10:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (16:43:39) | ===> btop++ v.1.4.0
2025/04/19 (16:43:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (23:00:33) | ===> btop++ v.1.4.0
2025/04/19 (23:00:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (23:01:03) | ===> btop++ v.1.4.0
2025/04/19 (23:01:03) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/19 (23:01:44) | WARNING: Failed to join _runner thread on exit!

2025/04/20 (11:25:29) | ===> btop++ v.1.4.0
2025/04/20 (11:25:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (11:30:23) | ===> btop++ v.1.4.0
2025/04/20 (11:30:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (22:17:23) | ===> btop++ v.1.4.0
2025/04/24 (22:17:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (20:25:49) | ===> btop++ v.1.4.0
2025/04/25 (20:25:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (20:26:42) | ===> btop++ v.1.4.0
2025/04/25 (20:26:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/26 (17:24:48) | ===> btop++ v.1.4.0
2025/04/26 (17:24:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (12:40:53) | ===> btop++ v.1.4.0
2025/04/27 (12:40:53) | WARNING: Intel GPU: Failed to initialize PMU
